trans_id,timestamp,merchant_name,alibaba_category,amount,payment_method,fee_amount,settlement_amount,trans_status,region
trans00000001,2025-08-01 00:00:00,Fujian Apparel Factory,Perlengkapan & Peralatan Otomotif,873405,Virtual Account,9058,864347,Success,Indonesia
trans00000002,2025-08-01 00:00:00,Sichuan Kids Toys,Furnitur,1485125,Virtual Account,15624,1469501,Failed,Indonesia
trans00000003,2025-08-01 00:00:00,Hubei Health Products,"Pertanian, Makanan & Minuman",1312547,Virtual Account,10627,1301920,Failed,Indonesia
trans00000004,2025-08-01 00:00:00,Yunnan Fabrication Services,Pakaian & Aksesori,378674,E-Wallet,4453,374221,Failed,Vietnam
trans00000005,2025-08-01 00:00:00,Hubei Health Products,Kendaraan & Transportasi,551820,Credit Card,6613,545207,Failed,China
trans00000006,2025-08-01 00:00:00,Sichuan Kids Toys,Alat & Mesin Komersial,405132,QRIS,3321,401811,Pending,Vietnam
trans00000007,2025-08-01 00:00:00,Beijing Plastics Manufacturing,Produk Kesehatan,518578,Debit Card,5430,513148,Pending,Vietnam
trans00000008,2025-08-01 00:00:00,Sichuan Kids Toys,Suku Cadang & Aksesori Kendaraan,773678,Virtual Account,6926,766752,Success,China
trans00000009,2025-08-01 00:00:00,Henan Pet Supplies,Transmisi Daya,1119985,Bank Transfer,12459,1107526,Success,Indonesia
trans00000010,2025-08-01 00:00:00,Guangzhou Electronics Co.,"Orang Tua, Anak, & Mainan",1118245,QRIS,11400,1106845,Success,Indonesia
trans00000011,2025-08-01 00:00:00,Shanghai Outdoor Sports Ltd,Lampu & Pencahayaan,936302,QRIS,9064,927238,Failed,China
trans00000012,2025-08-01 00:00:00,Sichuan Kids Toys,Perlengkapan Hewan Peliharaan,936241,Debit Card,6783,929458,Failed,Indonesia
trans00000013,2025-08-01 00:00:00,Sichuan Kids Toys,Pakaian & Aksesori,632176,E-Wallet,7465,624711,Success,China
trans00000014,2025-08-01 00:00:00,Beijing Plastics Manufacturing,"Koper, Tas & Pelindung",578516,Bank Transfer,6264,572252,Success,Indonesia
trans00000015,2025-08-01 00:00:00,Shanghai Outdoor Sports Ltd,Peralatan Rumah Tangga,960676,Virtual Account,6827,953849,Pending,China
trans00000016,2025-08-01 00:00:00,Zhejiang Industrial Supplier,Bangunan & Perumahan,1170789,Virtual Account,10378,1160411,Failed,Indonesia
trans00000017,2025-08-01 00:00:00,Henan Pet Supplies,Mesin Konstruksi & Bangunan,763678,Debit Card,7869,755809,Failed,Malaysia
trans00000018,2025-08-01 00:00:00,Fujian Apparel Factory,Perawatan Pribadi & Rumah,1108261,QRIS,12812,1095449,Failed,Indonesia
trans00000019,2025-08-01 00:00:00,Shenzhen Lighting Tech,Peralatan & Perkakas,463991,Credit Card,4964,459027,Pending,China
trans00000020,2025-08-01 00:00:00,Guangzhou Electronics Co.,"Pertanian, Makanan & Minuman",418614,E-Wallet,3153,415461,Failed,Malaysia
trans00000021,2025-08-01 00:00:00,Henan Pet Supplies,Peralatan Rumah Tangga,1309699,Bank Transfer,11522,1298177,Failed,Vietnam
trans00000022,2025-08-01 00:00:00,Xiamen Home Furnishing,Transmisi Daya,978696,Debit Card,11165,967531,Success,China
trans00000023,2025-08-01 00:00:00,Xiamen Home Furnishing,Mesin Konstruksi & Bangunan,1264146,QRIS,12676,1251470,Success,Vietnam
trans00000024,2025-08-01 00:00:00,Sichuan Kids Toys,"Pertanian, Makanan & Minuman",893561,Virtual Account,8019,885542,Failed,Indonesia
trans00000025,2025-08-01 00:00:00,Tianjin Printing & Packaging,Perlengkapan Sekolah & Kantor,714854,Bank Transfer,7501,707353,Failed,Malaysia
trans00000026,2025-08-01 00:00:00,Ningbo Packaging Solutions,Olahraga & Hiburan,740287,Debit Card,6316,733971,Failed,China
trans00000027,2025-08-01 00:00:00,Anhui Machinery Tools,Kendaraan & Transportasi,414405,Credit Card,3131,411274,Failed,Vietnam
trans00000028,2025-08-01 00:00:00,Yunnan Fabrication Services,"Pertanian, Makanan & Minuman",318500,E-Wallet,3240,315260,Failed,China
trans00000029,2025-08-01 00:00:00,Beijing Plastics Manufacturing,Mesin Konstruksi & Bangunan,1180630,QRIS,11687,1168943,Success,Vietnam
trans00000030,2025-08-01 00:00:00,Chongqing Auto Parts,Kerajinan & Suvenir,782683,Debit Card,9126,773557,Failed,Malaysia
trans00000031,2025-08-01 00:00:00,Tianjin Printing & Packaging,Perlengkapan Hewan Peliharaan,1360040,QRIS,15278,1344762,Failed,Vietnam
trans00000032,2025-08-01 00:00:00,Xiamen Home Furnishing,Peralatan Rumah Tangga,1436993,QRIS,10265,1426728,Success,Malaysia
trans00000033,2025-08-01 00:00:00,Henan Pet Supplies,Pakaian & Aksesori,1002207,E-Wallet,9090,993117,Pending,Indonesia
trans00000034,2025-08-02 00:00:00,Chongqing Auto Parts,Energi Terbarukan,1035282,E-Wallet,8404,1026878,Failed,China
trans00000035,2025-08-02 00:00:00,Tianjin Printing & Packaging,Layanan Fabrikasi,464350,Debit Card,4956,459394,Success,Vietnam
trans00000036,2025-08-02 00:00:00,Hubei Health Products,Perlengkapan Hewan Peliharaan,1140004,Virtual Account,12729,1127275,Pending,Indonesia
trans00000037,2025-08-02 00:00:00,Zhejiang Industrial Supplier,Kecantikan,1212725,Debit Card,13444,1199281,Failed,China
trans00000038,2025-08-02 00:00:00,Henan Pet Supplies,"Pertanian, Makanan & Minuman",433235,Debit Card,4790,428445,Pending,Malaysia
trans00000039,2025-08-02 00:00:00,Sichuan Kids Toys,Perlengkapan & Peralatan Otomotif,987344,Debit Card,11549,975795,Failed,China
trans00000040,2025-08-02 00:00:00,Sichuan Kids Toys,Kemasan & Cetakan,909860,Virtual Account,8805,901055,Pending,Vietnam
trans00000041,2025-08-02 00:00:00,Shenzhen Lighting Tech,Olahraga & Hiburan,869317,Credit Card,10165,859152,Pending,Indonesia
trans00000042,2025-08-02 00:00:00,Shanghai Outdoor Sports Ltd,Transmisi Daya,972319,E-Wallet,11274,961045,Failed,China
trans00000043,2025-08-02 00:00:00,Tianjin Printing & Packaging,Sepatu & Aksesoris,483044,Bank Transfer,5738,477306,Failed,Indonesia
trans00000044,2025-08-02 00:00:00,Yunnan Fabrication Services,Peralatan & Instrumen Pengujian,893444,Debit Card,9275,884169,Failed,Indonesia
trans00000045,2025-08-02 00:00:00,Sichuan Kids Toys,Layanan lainnya,645843,E-Wallet,7195,638648,Pending,Indonesia
trans00000046,2025-08-02 00:00:00,Shenzhen Lighting Tech,Furnitur,1327552,Bank Transfer,11351,1316201,Pending,Vietnam
trans00000047,2025-08-02 00:00:00,Zhejiang Industrial Supplier,"Koper, Tas & Pelindung",1080377,E-Wallet,10380,1069997,Success,Vietnam
trans00000048,2025-08-02 00:00:00,Anhui Machinery Tools,"Pertanian, Makanan & Minuman",870158,Debit Card,9070,861088,Failed,Indonesia
trans00000049,2025-08-02 00:00:00,Xiamen Home Furnishing,Rumah & Taman,869455,E-Wallet,9996,859459,Pending,China
trans00000050,2025-08-02 00:00:00,Zhejiang Industrial Supplier,Layanan Fabrikasi,631434,QRIS,5309,626125,Failed,China
trans00000051,2025-08-02 00:00:00,Ningbo Packaging Solutions,Kerajinan & Suvenir,1447217,Credit Card,12344,1434873,Pending,Vietnam
trans00000052,2025-08-02 00:00:00,Xiamen Home Furnishing,Mesin Konstruksi & Bangunan,937633,E-Wallet,8169,929464,Failed,Vietnam
trans00000053,2025-08-02 00:00:00,Henan Pet Supplies,Layanan Fabrikasi,435503,Virtual Account,5151,430352,Success,Vietnam
trans00000054,2025-08-02 00:00:00,Hubei Health Products,Energi Terbarukan,545984,E-Wallet,5241,540743,Pending,China
trans00000055,2025-08-02 00:00:00,Jiangsu Heavy Equipment,Lampu & Pencahayaan,1255965,Credit Card,13683,1242282,Success,Malaysia
trans00000056,2025-08-02 00:00:00,Beijing Plastics Manufacturing,"Orang Tua, Anak, & Mainan",1419365,E-Wallet,16816,1402549,Success,Indonesia
trans00000057,2025-08-02 00:00:00,Anhui Machinery Tools,Perlengkapan Sekolah & Kantor,795651,Bank Transfer,7640,788011,Pending,Vietnam
trans00000058,2025-08-02 00:00:00,Hubei Health Products,Layanan Fabrikasi,964986,QRIS,7623,957363,Success,Indonesia
trans00000059,2025-08-02 00:00:00,Sichuan Kids Toys,Peralatan & Instrumen Pengujian,626545,Bank Transfer,4836,621709,Success,Vietnam
trans00000060,2025-08-02 00:00:00,Guangzhou Electronics Co.,Kecantikan,1186152,Debit Card,12346,1173806,Success,China
trans00000061,2025-08-02 00:00:00,Fujian Apparel Factory,Produk Kesehatan,1103365,QRIS,9663,1093702,Failed,Vietnam
trans00000062,2025-08-02 00:00:00,Ningbo Packaging Solutions,Kecantikan,393529,Credit Card,3729,389800,Pending,China
trans00000063,2025-08-02 00:00:00,Fujian Apparel Factory,Pakaian Olahraga & Luar Ruangan,735821,E-Wallet,5626,730195,Pending,Vietnam
trans00000064,2025-08-02 00:00:00,Guangzhou Electronics Co.,Peralatan & Perkakas,1448164,Credit Card,15324,1432840,Failed,Vietnam
trans00000065,2025-08-02 00:00:00,Sichuan Kids Toys,Energi Terbarukan,539982,Bank Transfer,3826,536156,Success,Indonesia
trans00000066,2025-08-02 00:00:00,Jiangsu Heavy Equipment,Peralatan & Perkakas,1311974,Bank Transfer,14724,1297250,Success,Vietnam
trans00000067,2025-08-02 00:00:00,Shanghai Outdoor Sports Ltd,Energi Terbarukan,656576,QRIS,5876,650700,Pending,Vietnam
trans00000068,2025-08-02 00:00:00,Henan Pet Supplies,"Pertanian, Makanan & Minuman",1448589,Credit Card,15392,1433197,Success,Malaysia
trans00000069,2025-08-02 00:00:00,Fujian Apparel Factory,Alat & Mesin Komersial,957720,Virtual Account,9381,948339,Pending,Indonesia
trans00000070,2025-08-02 00:00:00,Xiamen Home Furnishing,Layanan Fabrikasi,1399977,Virtual Account,16557,1383420,Failed,Vietnam
trans00000071,2025-08-02 00:00:00,Jiangsu Heavy Equipment,Layanan Fabrikasi,1143252,QRIS,9350,1133902,Pending,Malaysia
trans00000072,2025-08-02 00:00:00,Anhui Machinery Tools,Pengelolaan Bahan,558335,Debit Card,4884,553451,Pending,Malaysia
trans00000073,2025-08-02 00:00:00,Zhejiang Industrial Supplier,Bangunan & Perumahan,1141214,Virtual Account,12031,1129183,Failed,Malaysia
trans00000074,2025-08-02 00:00:00,Shanghai Outdoor Sports Ltd,Rumah & Taman,1248687,Debit Card,12800,1235887,Pending,Indonesia
trans00000075,2025-08-02 00:00:00,Hubei Health Products,"Perhiasan, Kacamata & Jam Tangan",530177,Virtual Account,5971,524206,Pending,Indonesia
trans00000076,2025-08-02 00:00:00,Tianjin Printing & Packaging,Bahan Baku,579151,QRIS,5791,573360,Pending,China
trans00000077,2025-08-02 00:00:00,Shenzhen Lighting Tech,Energi Terbarukan,341392,Debit Card,2471,338921,Success,China
trans00000078,2025-08-02 00:00:00,Zhejiang Industrial Supplier,Peralatan & Perlengkapan Kelistrikan,1152181,Virtual Account,11113,1141068,Failed,China
trans00000079,2025-08-02 00:00:00,Hubei Health Products,Komponen Elektronik,302737,Bank Transfer,3609,299128,Failed,Indonesia
trans00000080,2025-08-02 00:00:00,Tianjin Printing & Packaging,Produk Kesehatan,507754,E-Wallet,4952,502802,Pending,Malaysia
